Asset 1,Asset 1 Industry,Asset 1 Sector,Asset 1 Long Name,Asset 2,Asset 2 Industry,Asset 2 Sector,Asset 2 Long Name,ADF p-Value,TestDate
APD,Specialty Chemicals,Basic Materials,"Air Products and Chemicals, Inc.",ECL,Specialty Chemicals,Basic Materials,Ecolab Inc.,0.039069,2024-11-18
CF,Agricultural Inputs,Basic Materials,"CF Industries Holdings, Inc.",FMC,Agricultural Inputs,Basic Materials,FMC Corporation,0.039014,2024-11-18
CRL,Diagnostics & Research,Healthcare,"Charles River Laboratories International, Inc.",DGX,Diagnostics & Research,Healthcare,Quest Diagnostics Incorporated,0.038984,2024-11-19
EMN,Specialty Chemicals,Basic Materials,Eastman Chemical Company,PPG,Specialty Chemicals,Basic Materials,"PPG Industries, Inc.",0.038406,2024-11-15
ECL,Specialty Chemicals,Basic Materials,Ecolab Inc.,EMN,Specialty Chemicals,Basic Materials,Eastman Chemical Company,0.037920,2024-11-14
PODD,Medical Devices,Healthcare,Insulet Corporation,SYK,Medical Devices,Healthcare,Stryker Corporation,0.037449,2024-11-19
EQR,REIT - Residential,Real Estate,Equity Residential,MAA,REIT - Residential,Real Estate,"Mid-America Apartment Communities, Inc.",0.037286,2024-11-18
AJG,Insurance Brokers,Financial Services,Arthur J. Gallagher & Co.,BRO,Insurance Brokers,Financial Services,"Brown & Brown, Inc.",0.037058,2024-11-18
AJG,Insurance Brokers,Financial Services,Arthur J. Gallagher & Co.,BRO,Insurance Brokers,Financial Services,"Brown & Brown, Inc.",0.036625,2024-11-15
EMN,Specialty Chemicals,Basic Materials,Eastman Chemical Company,PPG,Specialty Chemicals,Basic Materials,"PPG Industries, Inc.",0.036318,2024-11-14
AON,Insurance Brokers,Financial Services,Aon plc,WTW,Insurance Brokers,Financial Services,Willis Towers Watson Public Limited Company,0.036138,2024-11-14
REGN,Biotechnology,Healthcare,"Regeneron Pharmaceuticals, Inc.",TECH,Biotechnology,Healthcare,Bio-Techne Corporation,0.035970,2024-11-14
EQR,REIT - Residential,Real Estate,Equity Residential,MAA,REIT - Residential,Real Estate,"Mid-America Apartment Communities, Inc.",0.035523,2024-11-19
ECL,Specialty Chemicals,Basic Materials,Ecolab Inc.,EMN,Specialty Chemicals,Basic Materials,Eastman Chemical Company,0.035320,2024-11-18
PODD,Medical Devices,Healthcare,Insulet Corporation,SYK,Medical Devices,Healthcare,Stryker Corporation,0.035238,2024-11-14
ECL,Specialty Chemicals,Basic Materials,Ecolab Inc.,EMN,Specialty Chemicals,Basic Materials,Eastman Chemical Company,0.034899,2024-11-15
AJG,Insurance Brokers,Financial Services,Arthur J. Gallagher & Co.,BRO,Insurance Brokers,Financial Services,"Brown & Brown, Inc.",0.034601,2024-11-14
APD,Specialty Chemicals,Basic Materials,"Air Products and Chemicals, Inc.",ECL,Specialty Chemicals,Basic Materials,Ecolab Inc.,0.034507,2024-11-15
FRT,REIT - Retail,Real Estate,Federal Realty Investment Trust,REG,REIT - Retail,Real Estate,Regency Centers Corporation,0.034356,2024-11-14
CBOE,Financial Data & Stock Exchanges,Financial Services,"Cboe Global Markets, Inc.",MSCI,Financial Data & Stock Exchanges,Financial Services,MSCI Inc.,0.034274,2024-11-15
ADP,Software - Application,Technology,"Automatic Data Processing, Inc.",INTU,Software - Application,Technology,Intuit Inc.,0.034154,2024-11-14
